Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Covid_Week_16,Death_Registrations_Covid_Week_16_Per_100000,Death_Registrations_Care_Home_Covid_Week_16,Death_Registrations_Care_Home_Covid_Week_16_Per_100000,Death_Registrations_Hospital_Covid_Week_16,Death_Registrations_Hospital_Covid_Week_16_Per_100000,Death_Registrations_Home_Covid_Week_16,Death_Registrations_Home_Covid_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
England,0,1,0,Plymouth,E06000026,263100,80,3288.75,0.963,0.502,0.021,0.039,0.005,38.3,0.533,0.912,0.552,2441,0,78.8,-0.881,0.676,-0.567,0.49,0.787,-0.537,0.83,10.581,1.704,-0.679,0.498,7.6226,24,9.122,4,1.52,20,7.602,0,0,4,1.52
England,0,1,0,Torbay,E06000027,135780,63,2155.238,0.805,0.513,0.023,0.026,0.004,48.6,0.284,0.912,1.545,0,0,74.7,2.301,1.773,1.649,2.7,1.859,1.379,0.828,10.811,-0.559,1.441,0.498,6.6506,20,14.73,5,3.682,13,9.574,2,1.473,7,5.155
England,0,1,0,Swindon,E06000030,221996,230,965.2,0.174,0.501,0.006,0.102,0.009,39.8,0.558,-0.089,-0.007,0,0,65.4,-1.08,-0.185,-0.551,-0.604,-0.292,-0.806,0.828,10.044,1.704,-0.955,0.498,10.2743,60,27.028,23,10.361,35,15.766,2,0.901,25,11.261
England,0,1,0,Peterborough,E06000031,201041,343,586.125,0.668,0.498,0.01,0.175,0.012,36.5,0.309,2.581,0.091,0,0,87,0.012,-0.76,0.521,0.017,-0.522,-0.809,0.763,11.154,1.668,-0.721,0.455,10.1494,20,9.948,2,0.995,18,8.953,0,0,2,0.995
England,0,1,0,Luton,E06000032,214109,43,4979.279,-0.376,0.493,0.008,0.455,0.029,34.2,0.298,0.912,-1.908,0,0,92.9,1.806,-0.271,-1.397,-0.753,-0.336,-1.155,0.8,10.536,1.704,-1.669,0.455,11.3321,102,47.639,1,0.467,97,45.304,4,1.868,5,2.335
England,0,1,0,Southend-on-Sea,E06000033,182463,42,4344.357,0.109,0.51,0.012,0.096,0.008,41.6,-0.68,0.912,0.683,0,0,69.6,0.144,0.536,0.394,0.656,0.362,0.182,0.758,11.994,1.848,0.749,0.455,10.2649,76,41.652,3,1.644,70,38.364,2,1.096,6,3.288
England,0,1,0,Thurrock,E06000034,172525,163,1058.436,-0.303,0.506,0.004,0.143,0.011,36.9,0.047,0.578,-0.552,53196,0,83,-0.957,0.528,-0.182,-0.363,0.35,-1.069,0.728,12.549,-0.559,-1.194,0.455,11.4523,49,28.402,1,0.58,47,27.242,1,0.58,2,1.159
England,0,1,0,Medway,E06000035,277855,194,1432.242,0.126,0.505,0.015,0.104,0.007,38.1,0.565,0.912,-0.094,10205,0,69.2,-0.879,0.633,-0.551,-0.349,0.546,-0.835,0.758,12.024,-0.559,-1.255,0.619,12.0612,78,28.072,8,2.879,67,24.113,1,0.36,11,3.959
England,0,1,0,Bracknell Forest,E06000036,121676,109,1116.294,-0.691,0.503,0.024,0.095,0.005,39.1,-0.644,-0.423,0.224,0,0.133,53.8,-2.243,-0.792,-1.343,-1.343,-0.564,-1.074,0.8,11.028,-0.559,-1.365,0.619,10.6043,24,19.725,1,0.822,22,18.081,1,0.822,2,1.644
England,0,1,0,West Berkshire,E06000037,158527,704,225.18,-0.691,0.505,0.019,0.053,0.003,43.2,-1.315,-0.757,0.583,0,0.133,48.6,-1.06,-0.156,-0.039,-0.843,-0.281,-0.387,0.82,10.056,-0.559,-0.7,0.619,9.8118,47,29.648,15,9.462,29,18.293,3,1.892,18,11.355
